"","company","company_location","review_date","country_of_bean_origin","specific_bean_origin_or_bar_name","cocoa_percent","rating","counts_of_ingredients","bean","cocoa_butter","vanila","lecithin","salt","sugar","sweetener_without_sugar","first_taste","second_taste","third_taste"
"171","Atypic","Australia",2019,"Solomon islands","Solomon Islands",70,3,4,"1","1","0","1","0","1","0","off aroma","vegetal","honey"
"172","Auro","Philippines",2018,"Philippines","Saloy E., 2016",70,3.5,3,"1","1","0","0","0","1","0","long","bright fruit","sweet"
"173","Auro","Philippines",2018,"Philippines","Paquibao E., 2016",70,3,3,"1","1","0","0","0","1","0","waxy","dried fruit",NA
"174","Auro","Philippines",2018,"Philippines","South Cotabato",70,3,3,"1","1","0","0","0","1","0","sandy","roasty","nutty"
"175","Auro","Philippines",2018,"Philippines","Davao",77,2.75,4,"1","0","1","1","0","1","0","sandy","vanilla",NA
"176","Bahen & Co.","Australia",2012,"Madagascar","Sambirano",70,3,2,"1","0","0","0","0","1","0","unrefined","flat","grassy"
"177","Bahen & Co.","Australia",2012,"Brazil","Bahia",70,2.5,2,"1","0","0","0","0","1","0","chalky","intense","chemical"
"178","Bahen & Co.","Australia",2012,"Blend","Houseblend",70,2.5,2,"1","0","0","0","0","1","0","chalky","fragrant","then off"
"179","Bahen & Co.","Australia",2015,"Papua new guinea","Papua New Guinea",70,3.5,2,"1","0","0","0","0","1","0","smoke","ham","papaya"
"180","Bahen & Co.","Australia",2015,"Blend","Houseblend",80,3.25,2,"1","0","0","0","0","1","0","coarse","smokey","metallic"
"181","Baiani","Brazil",2018,"Brazil","Bahia, Vale Potumujo",70,3,2,"1","0","0","0","0","1","0","bland","sugary","large grits"
"182","Bakau","Peru",2015,"Peru","Huallabamba, 2015",70,3.5,3,"1","1","0","0","0","1","0","black pepper","cardamom",NA
"183","Bakau","Peru",2015,"Peru","Bambamarca, 2015",70,2.75,3,"1","1","0","0","0","1","0","molasses","caramel","pungent"
"184","Bankston","U.S.A",2019,"Tanzania","Kokoa Kamili",72,3.25,3,"1","1","0","0","0","1","0","base cocoa","mild fruit","roasty"
"185","Bankston","U.S.A",2019,"Uganda","Uganda",82,2.75,3,"1","1","0","0","0","1","0","bitter","fatty","mild fruit"
"186","Bankston","U.S.A",2019,"Belize","Belize",72,2.5,3,"1","1","0","0","0","1","0","gritty","fatty","sour"
"187","Bar Au Chocolat","U.S.A",2012,"Madagascar","Sambirano",70,3.75,2,"1","0","0","0","0","1","0","raspberry","mild sour",NA
"188","Bar Au Chocolat","U.S.A",2012,"Mexico","Chiapas",70,3.5,2,"1","0","0","0","0","1","0","molasses","toffee","coffee grounds"
"189","Bar Au Chocolat","U.S.A",2012,"Dominican republic","Duarte Province",70,3.25,2,"1","0","0","0","0","1","0","complex","black pepper","coffee"
"190","Bar Au Chocolat","U.S.A",2014,"Peru","Maranon Canyon",70,4,2,"1","0","0","0","0","1","0","creamy","rounded","orange"
"191","Bar Au Chocolat","U.S.A",2015,"Brazil","Bahia",70,3.5,2,"1","0","0","0","0","1","0","intense","smokey","dried fruit"
"192","Bar Au Chocolat","U.S.A",2017,"Costa rica","Turrialba, Cartago P.",72,3.5,2,"1","0","0","0","0","1","0","slightly dry","cocoa","berry"
"193","Bar Au Chocolat","U.S.A",2017,"Trinidad","Montserrat Hills",80,3.5,2,"1","0","0","0","0","1","0","intense","tangy","alcohol"
"194","Baravelli's","Wales",2012,"Costa rica","single estate",80,2.75,4,"1","1","1","0","0","1","0","gritty","floral","vanilla"
"195","Batch","U.S.A",2016,"Brazil","Brazil",70,3.75,3,"1","1","0","0","0","1","0","strawberry","candy flavor",NA
"196","Batch","U.S.A",2016,"Dominican republic","Dominican Republic, Batch 3",65,3.5,3,"1","1","0","0","0","1","0","creamy","sweet","fudgey"
"197","Batch","U.S.A",2016,"Ecuador","Ecuador",65,3.25,3,"1","1","0","0","0","1","0","sandy","floral","sweet"
